title,url,text
Information Retrieval,https://en.wikipedia.org/wiki/Information_retrieval,Information retrieval (IR) is the activity of obtaining information system resources relevant to an information need from a collection. Web search engines are the most visible IR applications. A query does not uniquely identify a single object; several objects may match with different degrees of relevancy. Precision is relevant retrieved divided by total retrieved. Recall is relevant retrieved divided by total relevant. The inverted index maps terms to documents containing them. Boolean retrieval uses set intersection and union. Ranked retrieval orders documents by relevance score.
TF-IDF Ranking,https://en.wikipedia.org/wiki/Tf-idf,TF-IDF stands for term frequency-inverse document frequency. It reflects how important a word is to a document in a corpus. TF-IDF value increases proportionally to the number of times a word appears in the document and is offset by the number of documents in the corpus that contain the word. This adjusts for words that appear frequently in general. It is one of the most popular term-weighting schemes used in information retrieval and text mining for document ranking and keyword extraction.
PageRank Algorithm,https://en.wikipedia.org/wiki/PageRank,PageRank is an algorithm used by Google Search to rank web pages. It was named after Larry Page of Google. PageRank works by counting the number and quality of links to a page to estimate its importance. More important websites receive more links from other websites. The algorithm outputs a probability distribution representing the likelihood that a random link-clicker arrives at any particular page. PageRank uses a damping factor alpha of 0.85 and iterates until convergence. It is a foundational algorithm in web information retrieval.
Machine Learning,https://en.wikipedia.org/wiki/Machine_learning,"Machine learning (ML) is a field of inquiry devoted to understanding and building methods that learn from data to improve performance on tasks. It is part of artificial intelligence. Machine learning algorithms build a model based on sample training data to make predictions without being explicitly programmed. Applications include email filtering, speech recognition, computer vision, and recommendation systems. Supervised learning uses labelled data. Unsupervised learning finds patterns in unlabelled data. Reinforcement learning learns through rewards and penalties."
Natural Language Processing,https://en.wikipedia.org/wiki/Natural_language_processing,"Natural language processing (NLP) is a subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language. Goals include text classification, machine translation, sentiment analysis, named entity recognition, question answering, and text summarization. NLP uses techniques from computational linguistics, machine learning, and deep learning. Tokenization splits text into tokens. Stemming reduces words to their root form. Lemmatization maps words to their canonical form using a vocabulary and morphological analysis."
Search Engine,https://en.wikipedia.org/wiki/Search_engine,"A web search engine is a software system that is designed to carry out web searches. They search the World Wide Web in a systematic way for particular information specified in a textual web search query. The search results are generally presented in a line of results, often referred to as search engine results pages. Information may be a mix of links to web pages, images, videos, infographics, articles, and other types of files. Search engines also maintain real-time information by running an algorithm on a web crawler. The most popular search engine is Google followed by Microsoft Bing and Yahoo."
Recommender System,https://en.wikipedia.org/wiki/Recommender_system,A recommender system is a subclass of information filtering system that seeks to predict the rating or preference a user would give to an item. Content-based filtering uses item features to recommend similar items the user has liked. Collaborative filtering uses ratings from many users to find similar users and recommend items they liked. Hybrid systems combine both approaches. Matrix factorization decomposes the user-item rating matrix into latent factors. Cosine similarity measures the angle between two vectors and is widely used in both content-based and collaborative recommendation systems.
Web Crawling,https://en.wikipedia.org/wiki/Web_crawler,"A web crawler is an internet bot that systematically browses the World Wide Web, typically for the purpose of web indexing. Web crawlers can copy pages for processing by a search engine, which indexes the downloaded pages so users can search more efficiently. Crawlers consume resources on visited systems and often visit sites without permission. Duplicate detection prevents re-crawling the same page. Politeness policies respect robots.txt files. Breadth-first crawling visits pages level by level from seed URLs. Focused crawlers target specific topics or domains."
Inverted Index,https://en.wikipedia.org/wiki/Inverted_index,"An inverted index is an index data structure storing a mapping from content, such as words or numbers, to its locations in a database file, or in a document or a set of documents. The purpose of an inverted index is to allow fast full-text searches, at a cost of increased processing when a document is added to the database. The inverted file may be the database file itself, rather than its index. It is the most popular data structure used in document retrieval systems, used on a large scale in search engines like Google, Bing, and Yahoo. Each term in the vocabulary maps to a posting list of document IDs."
HITS Algorithm,https://en.wikipedia.org/wiki/HITS_algorithm,Hyperlink-Induced Topic Search (HITS) is a link analysis algorithm that rates web pages. It was developed by Jon Kleinberg. The algorithm identifies two types of web pages: hubs and authorities. Authorities are pages that contain useful information on a topic. Hubs are pages that link to many authorities. A good hub is a page that links to many authorities. A good authority is a page that many hubs link to. The algorithm is iterative and updates hub and authority scores alternately until convergence. HITS and PageRank are the two most well-known link analysis algorithms used in web information retrieval.
